Aaberg	'o:-%b{rg
katteslekts	"kA-t@-%SlEkts
kattesyken	"kA-t@-%sy:-k@n
kattesykers	"kA-t@-%sy:-k@s`
kattet	"kA-t@t
kattets	"kA-t@ts
kattøyene	"kAt-%9*Y-@-n@
kattøyers	"kAt-%9*Y-@s`
kattøynenes	"kAt-%9*Y-nn=-@s
katts	'kAts
kattuglene	"kAt-%u0-gln=-@
kattuglenes	"kAt-%u0-gln=-@s
kattuglers	"kAt-%u0-gl@s`
kattungers	"kA-%tUN-@s`
katzenjammer	'kAt-s@n-%jA-m@r
kaua	"kE*u0-A
kauets	"kE*u0-@ts
kaukasiernes	kE*u0-'kA:-sI-@r-n`@s
kaukasoides	kE*u0-kA-sU-'i:-d@s
kaukete	"kE*u0-k@-t@
kaupa	'kE*u0-pA
Kaurin	kE*u0-'ri:n
Kaur	'kE*u0r
kausalitet	kE*u0-sA-lI-'te:t
kausalt	kE*u0-'sA:lt
Kausar	'kE*u0-sAr
kausativet	'kE*u0-sA-%ti:-v@
kausjonenes	kE*u0-'Su:-nn=-@s
kausjonerende	kE*u0-SU-'ne:-n`=-@
kautelets	kE*u0-'te:-l@ts
kautes	"kE*u0-t@s
kautests	'kE*u0-t@sts
kautsjuken	'kE*u0t-%S}:-k@n
kautsjuk	'kE*u0t-%S}:k
kautsjukplantene	"kE*u0t-S}:k-%plAn-tn=-@
kautsjukplantens	"kE*u0t-S}:k-%plAn-tn=s
kautsjuks	'kE*u0t-%S}:ks
kautsjuktreet	'kE*u0t-Su0k-%tre:-@
kavai	kA-'vA*I
kavalerene	kA-vA-'le:-n`=-@
kavalerenes	kA-vA-'le:-n`=-@s
kavalerisjokkas	kA-vA-l@-'ri:-%SO-kAs
kavalerisjokkene	kA-vA-l@-'ri:-%SO-k@-n@
kavaleristers	kA-vA-l@-'rI-st@s`
kavalkadenes	kA-vAl-"kA:-dn=-@s
kavas	"kA:-vAs
kavde	"kAv-d@
kavede	"kA:-v@-d@
kaves	"kA:-v@s
kaviarens	kA-vI-'A:-n`=s
kavlebroen	"kAv-l@-%bru:-@n
kavlebrua	"kAv-l@-%br}:-A
kavlet	"kAv-l@t
kavrings	"kA-vrINs
Kazim	kA-'si:m
Kazunari	kA-su0-'nA:-rI
KBPS	%ko:-be:-pe:-'Es
kebabens	'ke:-bA-b@ns
kebab	'ke:-bAb
kedivenes	k@-'di:-v@-n@s
keeperens	'ki:-p@rn`S
keeperers	'ki:-p@-r@s`
keeperne	'ki:-p@-n`@
keepertabbe	'ke:-p@-%t`A-b@
Kees	'ke:s
kefir	'ke:-fIr
kefirkorna	'ke:-fIr-%ku:-n`A
keieres	"k{*I-@-r@s
keiet	'k{*I-@
Keijo	'k{*I-jU
kei	'k{*I
keims	'C{*Ims
keipe	"C{*I-p@
keiper	"C{*I-p@r
keisamsts	"C{*I-sAmsts
keiserdyrkelsenes	"C{*I-s@r-%dYr-kl=-sn=-@s
keiserdyrkelsens	"C{*I-s@r-%dYr-kl=-sn=s
keiserdyrkelser	"C{*I-s@r-%dYr-kl=-s@r
keiserer	"k{*I-s@-r@r
keiserinna	k{*I-s@-"rI-nA
keiserinnen	k{*I-s@-"rI-nn=
keiserkronens	"C{*I-s@r-%kru:-nn=s
keiserkroner	"C{*I-s@r-%kru:-n@r
keiserne	"k{*I-s@-n`@
keiserpingvins	"C{*I-s@r-pIN-%vi:ns
keiserrika	"C{*I-s@r-%ri:-kA
keiserrikene	"C{*I-s@r-%ri:-k@-n@
keisersnittenes	"k{*I-s@-%s`n`I-tn=-@s
keisersnitts	"k{*I-s@-%s`n`Its
keisomme	"C{*I-sO-m@
keisommere	"C{*I-sO-m@-r@
keisommeres	"C{*I-sO-m@-r@s
keitete	"C{*I-t@-t@
keitets	"C{*I-t@ts
keiveligeres	"C{*I-v@-lI-@-r@s
keivetes	"C{*I-v@-t@s
keivets	"C{*I-v@ts
keivlets	"C{*Iv-l@ts
keivnes	"C{*Iv-n@s
Kekkonens	'kE-kU-nn=s
Kellogg	'kE-lOg
kelterers	'kEl-t@-r@s`
kelters	'kEl-t@s`
kelvinskalaen	'kEl-vIn-%skA:-lA-@n
kelvinskalas	'kEl-vIn-%skA:-lAs
Kemal	k@-'mA:l
kemnere	"kEm-n@-r@
kemnerers	"kEm-n@-r@s`
kemnerkontora	"kEm-n@r-kUn-%tu:-rA
kemnerkontoret	"kEm-n@r-kUn-%tu:-r@
kemners	"kEm-n@s`
kengururottenes	'kEN-gu0-ru0-%rO-tn=-@s
kengururotter	'kEN-gu0-ru0-%rO-t@r
kengururotters	'kEN-gu0-ru0-%rO-t@s`
kengururottes	'kEN-gu0-ru0-%rO-t@s
K-en	'ko:-@n
Kennebunkport	'kE-n@-bUNk-%po:t`
kentauren	k@n-'tE*u0-n`=
kenyanerens	k@-nY-'A:-n@rn`S
kenyaneres	k@-nY-'A:-n@-r@s
kenyanernes	k@-nY-'A:-n@r-n`@s
kenyaners	k@-nY-'A:-n@s`
kenyanskes	k@-nY-'A:n-sk@s
kepaløkene	'ke:-pA-%l2:-k@-n@
kepaløker	'ke:-pA-%l2:-k@r
kepaløkers	'ke:-pA-%l2:-k@s`
ker	"ko:-@r
Kerkrade	'k2:-kr{*Id
Kermit	'k{r-mIt
K-ers	"ko:-@s`
keyboard	'ki:-%bo:d`
keyboards	'ki:-%bo:d`s
KGB	%ko:-ge:-'be:
KG-klassen	"ko:-g@-%klA-sn=
khaki	'kA:-kI
khanatas	kA-'nA:-tAs
khanatet	kA-'nA:-t@
khanens	'kA:-nn=s
Khasbulatovs	kAs-bu0-'lA:-tOvs
Khazai	kA-sA*I
kiasmenes	kI-"A-sm@-n@s
kiasmens	kI-"A-sm@ns
kibbendes	"CI-b@-n@s
kibbers	"CI-b@s`
kibbutzenes	kI-'bu0t-sn=-@s
kibbutzer	kI-'bu0t-s@r
kibbutzers	kI-'bu0t-s@s`
Kibet	'kI-b@t
Kibsgaard	'CIps-%go:r
kickers	"kI-k@s`
kickstarteren	'kIk-%stA:-t`@-n`=
kickstarterers	'kIk-%stA:-t`@-r@s`
kickstarteres	'kIk-%stA:-t`@-r@s
kidnappende	'kId-%nA-p@-n@
kidnappendes	'kId-%nA-p@-n@s
kidnapperens	'kId-%nA-p@rn`S
kidnappet	'kId-%nA-p@t
Kiefer	'ki:-f{r
Kiel	'Ci:l
Kiel-fergen	'ki:l-%f{r-g@n
Kiellands	"CE-%lAns
Kigali	'kI-gA-lI
Kihle	"Ci:-l@
Kiichi	'ki:t-SI
kikadorene	kI-kA-'do:-n`=-@
kikadorenes	kI-kA-'do:-n`=-@s
kikadoren	kI-kA-'do:-n`=
kikenes	'Ci:-k@-n@s
kikerens	"Ci:-k@rn`S
kiketes	"Ci:-k@-t@s
kikholas	"Ci:k-%ho:-lAs
kikholets	"Ci:k-%ho:-l@ts
kikhullene	'Ci:k-%hu0-ln=-@
kikhullets	'Ci:k-%hu0-l@ts
kikidorianenes	kI-kI-'do:-rI-A-nn=-@s
kikkadoren	kI-kA-'do:-n`=
kikke	"CI-k@
kikkernes	"CI-k@r-n`@s
kikkers	"CI-k@s`
kikkertøyet	'CIk-@t`-%9*Y-@
kikkholenes	"CIk-%ho:-ln=-@s
kikkhullene	"CIk-%hu0-ln=-@
kikkhullets	"CIk-%hu0-l@ts
kikkidorens	kI-kI-'du:-n`=s
kikkidorianenes	kI-kI-'do:-rI-A-nn=-@s
kikkidorianers	kI-kI-'do:-rI-A-n@s`
kikkidor	kI-kI-'du:r
Kikkutveien	"CI-ku0-%tv{*I-@n
kiknet	"CI-kn@t
kiknetes	"CI-kn@-t@s
kikse	"CIk-s@
kiktes	"CIk-t@s
kikuyus	kI-'k}:-ju0s
Kildahl	"CIl-%dA:l
kildegranskinga	"CIl-d@-%grAn-skIN-A
kildegransking	"CIl-d@-%grAn-skIN
kildegranskingers	"CIl-d@-%grAn-skIN-@s`
kildekritikk	"CIl-d@-krI-%tIk
kildenes	"CIl-dn=-@s
kildents	"CIl-dn=ts
kildepliktene	"CIl-d@-%plIk-tn=-@
kildevanna	"CIl-d@-%vA-nA
kildevannet	"CIl-d@-%vA-n@
kildne	"CIld-n@
kildra	"CIl-drA
kildrer	"CIl-dr@r
kildreren	"CIl-dr@-n`=
kildrernes	"CIl-dr@r-n`@s
kildres	"CIl-dr@s
kildretes	"CIl-dr@-t@s
kildrets	"CIl-dr@ts
kilebeinenes	"Ci:-l@-%b{*I-nn=-@s
kilebeins	"Ci:-l@-%b{*Ins
kileben	"Ci:-l@-%be:n
Kilegrend	"Ci:-l@-%grEn
kilendes	"Ci:-ln=-@s
kilene	"Ci:-ln=-@
kilenøtene	"Ci:lE-%n2:-tn=-@
kilenøtenes	"Ci:lE-%n2:-tn=-@s
kilents	"Ci:-l@nts
kilere	"Ci:-l@-r@
kilerens	"Ci:-l@rn`S
kilerne	"Ci:-l@-n`@
kilevinken	CI-l@-'vIn-k@n
kilevinkene	CI-l@-'vIn-k@-n@
kilevinker	CI-l@-'vIn-k@r
Killie	"CI-%li:
killingene	"CI-lIN-@-n@
Killingland	"CI-lIN-%lAn
Killy	'kI-lY
kilnere	"Ci:l-n@-r@
kilneste	"Ci:l-n@-st@
kilobyteen	'Ci:-lU-%bA*I-tn=
kilocykelens	'Ci:-lU-%sY-k@lns
kilocyklenes	'Ci:-lU-%sY-kl=-n@s
kilohertzene	'Ci:-lU-%h{t`-Sn=-@
kilokaloriens	'Ci:-lU-kA-lU-%ri:-@ns
kilometeravgiftene	'Ci:-lU-%me:-t@-rAv-%jIf-tn=-@
kilopondmeterens	CI-lU-'pOn-%me:-t@-n`=s
kilopondmeters	CI-lU-'pOn-%me:-t@s`
kilosvis	'Ci:-lU-%svi:s
kilotonna	'Ci:-lU-%tO-nA
kilowattens	'Ci:-lU-%vA-tn=s
kilowatt-time	'Ci:-lU-vA-%ti:-m@
kilowatttime	'Ci:-lU-vA-%ti:-m@
kilowatttimer	'Ci:-lU-vA-%ti:-m@r
kilowatt-timers	'Ci:-lU-vA-%ti:-m@s`
kiltenes	"kIl-tn=-@s
kilten	'kIl-tn=
kimærene	kI-"m{:-n`=-@
kimærer	kI-"m{:-r@r
kimbriske	'kIm-brI-sk@
kimcellas	"Ci:m-%sE-lAs
kimceller	"Ci:m-%sE-l@r
kimknoppens	"Ci:m-%knO-p@ns
kimknoppers	"Ci:m-%knO-p@s`
kimminga	"CI-mIN-A
kimmingen	"CI-mIN-@n
kimmingenes	"CI-mIN-@-n@s
kimonoenes	'kI-mU-nU-@-n@s
kimono	'kI-mU-nU
kimonos	'kI-mU-nUs
kimplanta	"Ci:m-%plAn-tA
kimplanter	"Ci:m-%plAn-t@r
kimses	"CIm-s@s
kimset	"CIm-s@t
kimsete	"CIm-s@-t@
kimstenglenes	"Ci:m-%stEN-l=-n@s
kinabarktrær	'Ci:-nA-bArk-%tr{:r
kinabarktreas	'Ci:-nA-bArk-%tre:-As
kinakålen	'Ci:-nA-%ko:-ln=
kinamann	'Ci:-nA-%mAn
kinamannens	'Ci:-nA-%mA-nn=s
kinaputts	'Ci:-nA-%pu0ts
kinasjakk	'Ci:-nA-%SAk
kinasjakks	'Ci:-nA-%SAks
kinatrær	'Ci:-nA-%tr{:r
Kine	"ki:-n@
kinemateka	CI-n@-mA-'te:-kA
kinemateket	CI-n@-mA-'te:-k@
kinematograf	CI-n@-mA-tU-'grA:f
kinematografs	CI-n@-mA-tU-'grA:fs
kineserier	CI-n@-s@-'ri:-@r
kinesiologis	CI-n@-sI-U-lO-'gi:s
kinetikkens	CI-n@-'tI-k@ns
kinetisks	CI-'ne:-tIsks
kingel	'CIN-@l
kininen	CI-'ni:-nn=
kinkig	"CIN-kI
kinksa	'CINk-sA
kinkse	"CINk-s@
kinksers	"CINk-s@s`
kinnbeinet	"CIn-%b{*I-n@
kinnbeinets	"CIn-%b{*I-n@ts
kinnbeins	"CIn-%b{*Ins
kinnbenas	"CIn-%be:-nAs
kinneklingers	"CI-n@-%klIN-@s`
kinnemelk	"CI-n@-%mElk
kinnen	"CI-nn=
kinnende	"CI-nn=-@
kinnhestens	"CIn-%hE-stn=s
Kinnocks	'kI-nOks
kinnskjeggas	"CIn-%SE-gAs
kinobilletter	'Ci:-nU-bI-%lE-t@r
kinofilmen	'Ci:-nU-%fIl-m@n
kinogjengers	'Ci:-nU-%jEN-@s`
kinoorgelet	'Ci:-nU-%Or-gl=-@
kinoorgelets	'Ci:-nU-%Or-g@-l@ts
kinos	'Ci:-nUs
kinosenteret	'Ci:-nU-%sEn-t@-r@
kinosetene	'Ci:-nU-%se:-tn=-@
kinosjefens	'Ci:-nU-%Se:-f@ns
kinostykkas	'Ci:-nU-%stY-kAs
kinostykkene	'Ci:-nU-%stY-k@-n@
kinostykket	'Ci:-nU-%stY-k@
kinostykkets	'Ci:-nU-%stY-k@ts
kinosystem	'Ci:-nU-sY-%ste:m
kinoversjoner	'Ci:-nU-v@-%s`u:-n@r
kinovisning	'Ci:-nU-%vi:-snIN
kioskhistorie	"COsk-hI-%stu:-rI-@
kioskvarer	"CO-%skvA:-r@r
kipen	"Ci:-p@n
kiper	"Ci:-p@r
kiperers	"Ci:-p@-r@s`
kippe	"CI-p@
kippene	'CI-p@-n@
kippes	"CI-p@s
kippets	"CI-p@ts
kippkjøringa	'CIp-%C2:-rIN-A
kippkjøringen	'CIp-%C2:-rIN-@n
kippkjøringene	'CIp-%C2:-rIN-@-n@
kippkjøringers	'CIp-%C2:-rIN-@s`
kippkjørings	'CIp-%C2:-rINs
kippskodds	"CIp-%skUds
Kiran	'Ci:-rAn
Kirch	'kIrC
kirgiserne	kIr-'gi:-s@-n`@
kirgisernes	kIr-'gi:-s@r-n`@s
kirgisiskes	kIr-'gi:-sI-sk@s
kirgisisk	kIr-'gi:-sIsk
kiribatiere	kI-rI-'bA:-tI-@-r@
kiribatierens	kI-rI-'bA:-tI-@rn`S
kiribatiskes	kI-rI-'bA:-tI-sk@s
Kirijenkos	kI-rI-'EN-kOs
kirkeavdelingen	"CIr-k@-Av-%de:-lIN-@n
Kirkebakken	"CIr-k@-%bA-k@n
kirkebakkens	"CIr-k@-%bA-k@ns
kirkebåt	"CIr-k@-%bo:t
kirkebåtenes	"CIr-k@-%bo:-tn=-@s
kirkebesøk	"CIr-k@-b@-%s2:k
kirkebesøket	"CIr-k@-b@-%s2:-k@
kirkebøkenes	"CIr-k@-%b2:-k@-n@s
kirkebønnene	"CIr-k@-%b9-nn=-@
kirkebønnens	"CIr-k@-%b9-nn=s
kirkebønns	"CIr-k@-%b9ns
kirkebrusene	"CIr-k@-%br}:-sn=-@
kirkebrusenes	"CIr-k@-%br}:-sn=-@s
kirkebryllupers	"CIr-k@-%brY-lu0-p@s`
Kirkebygda	"CIr-k@-%bYg-dA
kirkebygdens	"CIr-k@-%bYg-dn=s
Kirkebyskogen	"CIr-k@-by:-%sku:-g@n
kirkedagene	"CIr-k@-%dA:-g@-n@
kirkedepartementas	"CIr-k@-d@-pA-t`@-%mAN-As
kirkedepartements	"CIr-k@-d@-pA-t`@-%mANs
kirkefaders	"CIr-k@-%fA:-d@s`
kirkefred	"CIr-k@-%fre:
kirkefreden	"CIr-k@-%fre:-@n
kirkefremmeds	"CIr-k@-%frE-m@ds
kirkefunnene	"CIr-k@-%fu0-nn=-@
kirkegard	"CIr-k@-%gA:r
kirkegård	"CIr-k@-%go:r
kirkegårdenes	"CIr-k@-%go:-n`=-@s
Kirkegårdsgata	"CIr-k@-go:s`-%gA:-tA
kirkegårdsporter	"CIr-k@-go:s`-%pU-t`@r
kirkegjengeren	"CIr-k@-%jEN-@-n`=
kirkegjengerne	"CIr-k@-%jEN-@-n`@
kirkegolv	"CIr-k@-%gOlv
kirkegolvenes	"CIr-k@-%gOl-v@-n@s
kirkegruppe	"CIr-k@-%gru0-p@
kirkegulvene	"CIr-k@-%gu0l-v@-n@
kirkehistorie	"CIr-k@-hI-%stu:-rI-@
kirkehistorien	"CIr-k@-hI-%stu:-rI-@n
kirkeklokkene	"CIr-k@-%klO-k@-n@
kirkekorene	"CIr-k@-%ku:-n`=-@
kirkekorenes	"CIr-k@-%ku:-n`=-@s
kirkelederen	"CIr-k@-%le:-d@n`
kirkelig	"CIr-k@-lI
kirkelige	"CIr-k@-lI-@
kirkeligeres	"CIr-k@-lI-@-r@s
kirkeministeren	"CIr-k@-mI-%nI-st@-n`=
kirkeministerens	"CIr-k@-mI-%nI-st@rn`S
kirkeministeres	"CIr-k@-mI-%nI-st@-r@s
kirkeministernes	"CIr-k@-mI-%nI-st@r-n`@s
kirkemøtene	"CIr-k@-%m2:-tn=-@
kirkemusikalske	"CIr-k@-mu0-sI-%kA:l-sk@
Kirkenær	"CIr-k@-%n{:r
kirkene	"CIr-k@-n@
kirkenes	"CIr-k@-n@s
Kirkeng	"CIr-%kEN
kirkeråd	"CIr-k@-%ro:d
kirkerommet	"CIr-k@-%rU-m@
kirkeruinene	"CIr-k@-ru0-%i:-nn=-@
kirkesamfunnas	"CIr-k@-%sAm-%fu0-nAs
kirkesamfunnene	"CIr-k@-%sAm-%fu0-nn=-@
kirkesamfunnets	"CIr-k@-%sAm-%fu0-n@ts
kirkesangere	"CIr-k@-%sAN-@-r@
kirkesangerens	"CIr-k@-%sAN-@rn`S
kirkesangerers	"CIr-k@-%sAN-@-r@s`
kirkeskatt	"CIr-k@-%skAt
kirkesogna	"CIr-k@-%sON-nA
kirkesognas	"CIr-k@-%sON-nAs
kirkesoknens	"CIr-k@-%sO-kn=-@ns
kirkesokners	"CIr-k@-%sO-kn=-@s`
kirkestatenes	"CIr-k@-%stA:-tn=-@s
kirkestatsrådene	"CIr-k@-stA:ts-%ro:-dn=-@
kirkestatsråds	"CIr-k@-stA:ts-%ro:ds
kirkesteder	"CIr-k@-%ste:-d@r
kirkesteds	"CIr-k@-%ste:ds
kirketårnenes	"CIr-k@-%to:-n`n`=-@s
kirketoneart	"CIr-k@-tu:-n@-%At`
kirketonearten	"CIr-k@-tu:-n@-%A-t`n`=
kirketoneartenes	"CIr-k@-tu:-n@-%A-t`n`=-@s
kirketoneartens	"CIr-k@-tu:-n@-%A-t`n`=s
kirkeveggen	"CIr-k@-%vE-g@n
kirkeveien	"CIr-k@-%v{*I-@n
kirkeveiene	"CIr-k@-%v{*I-@-n@
kirkeverjene	"CIr-k@-%v{r-j@-n@
kirkeverjers	"CIr-k@-%v{r-j@s`
kirografien	CI-rU-grA-'fi:-@n
kiromantikken	CI-rU-mAn-'tI-k@n
kiromantikks	CI-rU-mAn-'tIks
kiropraktorene	CI-rU-'prAk-tU-n`=-@
kiropraktorers	CI-rU-'prAk-tU-r@s`
Kirov	'ki:-rOv
kirschstangs	'ki:s`-%s`t`ANs
kirsebærlikør	'CI-s`@-b{:r-lI-%k2:r
kirsebærne	'CI-s`@-%b{:-n`@
kirsebærtrea	'CI-s`@-b{:r-%tre:-A
Kirsti	"CIs`-t`I
Kirstie	'k2:s`t`I
Kirstina	CIs`-'t`i:-nA
Kirstin	"CIs`-t`In
kirurg	CI-'ru0rg
kirurgers	CI-'ru0r-g@s`
kirurgiske	CI-'ru0r-gI-sk@
Kisebotten	"ki:-s@-%bO-tn=
Kise	"Ci:-s@
kiselalgers	'Ci:-s@l-%Al-g@s`
kiselgur	'Ci:-s@l-%g}:r
kiselgurer	'Ci:-s@l-%g}:-r@r
kiselgurers	'Ci:-s@l-%g}:-r@s`
kiselsyrens	'Ci:-s@l-%sy:-n`=s
kiser	"ki:-s@r
kiset	"Ci:-s@t
kislas	"CI-slAs
kisling	"CI-slIN
kislne	"CIsl-n@
kislnest	'CIsl-n@st
kist	'Ci:st
kistebonn	"CI-st@-%bOn
kistebotns	"CI-st@-%bO-tn=s
kisteglade	"CI-st@-%glA:-@
kistes	"CI-st@s
kitla	"CIt-lA
kitlers	"CIt-l@s`
kitlete	"CIt-l@-t@
kitlneres	"CItl-n@-r@s
kitlnests	'CItl-n@sts
kitt	'CIt
Kittelsbuktveien	"CI-t@ls-bUkt-%v{*I-@n
Kittelsens	"kI-t@l-sn=s
kittes	"CI-t@s
kiva	"Ci:-vA
kivendes	"Ci:-v@-n@s
kivetes	"Ci:-v@-t@s
kivingen	"Ci:-vIN-@n
kiwiene	'ki:-vI-@-n@
Kjækan	"C{:-kAn
kjælebarnene	"C{:-l@-%bA:-n`n`=-@
kjæledyr	"Ce:-l@-%dy:r
kjælegrisers	"C{:-l@-%gri:-s@s`
kjælenavna	"Ce:-l@-%nAv-nA
kjælents	"Ce:-l@nts
kjæleris	"Ce:-l@-%ri:s
kjæremål	"C{:-r@-%mo:l
kjæremålets	"C{:-r@-%mo:-l@ts
kjæremåls	"C{:-r@-%mo:ls
kjæremålsutvalgenes	"C{:-r@-mOl-su0-%tvAl-g@-n@s
kjæremålsutvalget	"C{:-r@-mOl-su0-%tvAl-g@
kjæremålsutvalgets	"C{:-r@-mOl-su0-%tvAl-g@ts
kjæremålsutvalgs	"C{:-r@-mOl-su0-%tvAlgs
kjæreste	"C{:-r@-st@
kjærestefolk	"C{:-r@-st@-%fOlk
kjærestefolkenes	"C{:-r@-st@-%fOl-k@-n@s
kjæresteparenes	"C{:-r@-st@-%pA:-n`=-@s
kjæresteparets	"C{:-r@-st@-%pA:-r@ts
kjærestepars	"C{:-r@-st@-%pA:s`
kjæresters	"C{:-r@-st@s`
kjæring	"C{:-rIN
kjærkomne	"C{:r-%kOm-n@
Kjærland	'C{:-%l`An
kjærligeres	"C{:-l`I-@-r@s
kjærligheta	"C{:-l`I-%he:-tA
kjærlighetene	"C{:-l`I-%he:-tn=-@
kjærlighetsaffærens	"C{:-l`I-he:ts-A-%f{:-n`=s
kjærlighetsaffærer	"C{:-l`I-he:ts-A-%f{:-r@r
kjærlighetsballader	"C{:-l`I-he:ts-bA-%lA:-d@r
kjærlighetsbrevas	"C{:-l`I-he:ts-%bre:-vAs
kjærlighetsbrevs	"C{:-l`I-he:ts-%bre:vs
kjærlighetsdiktene	"C{:-l`I-he:ts-%dIk-tn=-@
kjærlighetsduett	"C{:-l`I-he:ts-du0-%Et
kjærlighetsføleleser	"C{:-l`I-he:ts-%f2:-ll=-s@r
kjærlighetsforholdas	"C{:-l`I-he:ts-fOr-%hO-lAs
kjærlighetsforholdet	"C{:-l`I-he:ts-fOr-%hO-l@
kjærlighetsguder	"C{:-l`I-he:ts-%g}:-d@r
kjærlighetsgudinners	"C{:-l`I-he:ts-gu0-%dI-n@s`
kjærlighetshistories	"C{:-l`I-he:ts-hI-%stu:-rI-@s
kjærlighetskraften	"C{:-l`I-he:ts-%krAf-tn=
kjærlighetslivenes	"C{:-l`I-he:ts-%li:-v@-n@s
kjærlighetsrus	"C{:-l`I-he:ts-%r}:s
kjærlighetssorgs	"C{:-l`I-he:ts-%sOrgs
Kjærlighetsstien	"C{:-lI-he:ts-%sti:-@n
Kjærnes	'C{:-%n`e:s
kjærtegnes	"C{:-%t`{*I-n@s
kjærtes	"C{:-t`@s
kjæter	"Ce:-t@r
kjakebein	"CA:-k@-%b{*In
kjakebenene	"CA:-k@-%be:-nn=-@
kjakene	"CA:-k@-n@
kjaksendes	"CAk-sn=-@s
kjakser	"CAk-s@r
kjaksetes	"CAk-s@-t@s
kjangsas	"CAN-sAs
kjangs	'CANs
kjangsers	"CAN-s@s`
kjangsets	"CAN-s@ts
kjappe	"CA-p@
kjappes	"CA-p@s
kjappests	'CA-p@sts
kjappetes	"CA-p@-t@s
kjapts	'CApts
kjase	"CA:-s@
kjavdes	"CA:v-d@s
kjavets	"CA:-v@ts
kjeas	'Ce:-As
kje	'Ce:
kjedebrevet	"Ce:-d@-%bre:-v@
kjedeforretning	"Ce:-d@-fO-%rEt-nIN
kjedekassas	"Ce:-d@-%kA-sAs
kjedekasse	"Ce:-d@-%kA-s@
kjedekassene	"Ce:-d@-%kA-sn=-@
kjedekassers	"Ce:-d@-%kA-s@s`
kjedekollisjonenes	"Ce:-d@-kU-lI-%Su:-nn=-@s
kjedeliges	"Ce:-d@-lI-@s
kjedelighet	"Ce:-d@-lI-%he:t
kjedelighetenes	"Ce:-d@-lI-%he:-tn=-@s
kjedeligst	'Ce:-d@-lIgst
kjederøker	"Ce:-d@-%r2:-k@r
kjederøkerer	"Ce:-d@-%r2:-k@-r@r
kjederøkeres	"Ce:-d@-%r2:-k@-r@s
kjederøkt	"Ce:-d@-%r2:kt
kjederøykendes	"Ce:-d@-%r9*Y-k@-n@s
kjederøykeres	"Ce:-d@-%r9*Y-k@-r@s
kjederøyktes	"Ce:-d@-%r9*Yk-t@s
kjedesagen	"Ce:-d@-%sA:-g@n
kjedesagenes	"Ce:-d@-%sA:-g@-n@s
kjedsomme	"Ce:d-sO-m@
kjedsommelig	C@d-'sO-m@-lI
kjedsommelighet	C@d-'sO-m@-lI-%he:t
kjedsommeligheter	C@d-'sO-m@-lI-%he:-t@r
kjedsommere	"Ce:d-sO-m@-r@
kjedsommes	"Ce:d-sO-m@s
kjedsomstes	"Ce:d-sOm-st@s
kjedts	'CEts
kjeftamentas	C@f-tA-'mEn-tAs
kjeftende	"CEf-tn=-@
kjeftene	"CEf-tn=-@
kjeftesmellene	"CEf-t@-%smE-ln=-@
kjeftets	'CEf-t@ts
kjeglebaner	"C{*I-l@-%bA:-n@r
kjeglen	"C{*I-ln=
kjeglesnitta	"C{*I-l@-%snI-tA
kjeglesnittet	"C{*I-l@-%snI-t@
kjeglespellenes	"C{*I-l@-%spE-ln=-@s
kjeiene	'C{*I-@-n@
kjeienes	'C{*I-@-n@s
kjeiet	'C{*I-@
kjekka	"CE-kA
kjekkede	"CE-k@-d@
kjekkests	'CE-k@sts
kjekl	'CE-kl=
kjekle	"CE-kl@
kjeksas	"CEk-sAs
kjekser	"CEk-s@r
kjeldas	"CEl-dAs
kjeldegranskinga	"CEl-d@-%grAn-skIN-A
kjeldegranskinger	"CEl-d@-%grAn-skIN-@r
kjeldeplikten	"CEl-d@-%plIk-tn=
kjelders	"CEl-d@s`
kjeldes	"CEl-d@s
kjeldeskriftenes	"CEl-d@-%skrIf-tn=-@s
kjeldevann	"CEl-d@-%vAn
kjeldevannene	"CEl-d@-%vA-nn=-@
kjeldevatnet	"CEl-d@-%vA-tn=-@
kjeldressen	"Ce:l-%drE-sn=
Kjeldsen	'CEl-sn=
kjeleåpningen	"Ce:-l@-%o:p-nIN-@n
kjeledressen	"Ce:-l@-%drE-sn=
kjeledresser	"Ce:-l@-%drE-s@r
kjelen	"Ce:-ln=
kjelene	"Ce:-ln=-@
kjelesjauen	"Ce:-l@-%SE*u0-@n
kjelesjauene	"Ce:-l@-%SE*u0-@-n@
kjelkebakken	"CEl-k@-%bA-k@n
kjelkebakkene	"CEl-k@-%bA-k@-n@
kjelke	"CEl-k@
kjelkenes	"CEl-k@-n@s
kjelker	"CEl-k@r
kjelketes	"CEl-k@-t@s
Kjell-Åge	%CEl-"o:-g@
Kjellemo	"CE-l@-%mu:
kjelleraktige	"CE-l@-%rAk-tI-@
kjelleren	"CE-l@-n`=
kjellerkald	"CE-l@r-%kAl
kjellerlemmens	"CE-l@r-%lE-m@ns
kjellerlemmer	"CE-l@r-%lE-m@r
kjellerlokale	"CE-l@-l`U-%kA:-l@
kjellermjølk	"CE-l@r-%mj9lk
kjellerstovas	"CE-l@r-%sto:-vAs
kjellerstovens	"CE-l@r-%sto:-v@ns
kjellerstovers	"CE-l@r-%sto:-v@s`
kjellerstuers	"CE-l@-%s`t`}:-@s`
kjellertemperaturenes	"CE-l@r-t@m-p@-rA-%t}:-n`=-@s
kjellertemperaturer	"CE-l@r-t@m-p@-rA-%t}:-r@r
kjellertemperaturers	"CE-l@r-t@m-p@-rA-%t}:-r@s`
kjellertemperaturs	"CE-l@r-t@m-p@-rA-%t}:s`
